افریقہ	África
لا ہوبلونیری	La Houblonnière
سین-پیری-دو-بو	Saint-Pierre-du-Bû
سینٹ-ژاں -دے-لوٹ	Saint-Jean-de-Livet
سینٹ-کلیمنٹ، گرد	Saint-Clément (Gard)
سینٹ-مارٹن-دے-ولگلگیس	Saint-Martin-de-Valgalgues
لا شارکی	La Charce
سینٹ-ژاں -دے-سروس	Saint-Jean-de-Serres
سین-سففرت	Saint-Siffret
سینٹ-چرستول-دے-رودیرس	Saint-Christol-de-Rodières
گنول اور کائس	Gonville and Caius College (Cambridge)
احمد الصافی	Ahmed Al Safi
فاسفوڈائی ایسٹر بانڈ	Ligação fosfodiéster
انیس اضلاع	Eneadecágono
فہرست ممالک بلحاظ شرح پیدائش	Lista de países por taxa de natalidade
متفرد لاگرتھم	Logaritmo discreto
عمیق جنوبِ امریکہ	Deep South
جنویل، کلودوس	Janville (Calvados)
پینروز رسمہ	Diagrama de Penrose
سینٹ-لوپ-دے-فریبوس	Saint-Loup-de-Fribois
شمالی کردفان	Cordofão do Norte
لیک چارلس، لوسیانہ	Lake Charles (Luisiana)
اختراع ادخال	Dispositivo de entrada
لا کوٹی-سین-انڈری	La Côte-Saint-André
بروکلین پارک، مینیسوٹا	Brooklyn Park (Minnesota)
مڈغاسکر کے صوبے	Províncias de Madagáscar
زیتونی (رنگ)	Verde-oliva
ماورائی دالہ	Função transcendental
پاکستان مسلم لیگ (ق)	Liga Muçulmana do Paquistão-Q
سینٹ-مارٹن-دو-مونٹ، این	Saint-Martin-du-Mont (Ain)
ماہر حیاتیات	Biólogo
سینٹ-آندرے-دحیریت	Saint-André-d'Huiriat
سین-یفمئے	Sainte-Euphémie
فارقلیط	Paráclito
سان خوسے دیل گوابیارے	San José del Guaviare
یارموتھ، نوا سکوٹیا	Yarmouth
لاسون، کالواڈوس	Lasson
ہندسیاتِ حیاتیاتی نظامات	Engenharia de biossistemas
فہرست برازیل کی ریاستیں بلحاظ رقبہ	Lista de unidades federativas do Brasil por área
تولاگی	Tulagi
سنگاپور ٹیلی کمیونیکیشن لمیٹڈ	SingTel
حیاتی علوم	Ciências da vida
لا فولیٹیری-ابینون	La Folletière-Abenon
سینٹ-کیر-دو-رونکرے	Saint-Cyr-du-Ronceray
لا باسٹیڈی-ڈی-سیرو	La Bastide-de-Sérou
لا کاسایگنی	La Cassaigne
بریندرنگر	Birendranagar
سین-کولومے	Sainte-Colome
سنار (ریاست)	Sennar (estado)
سین-پریسٹ-داندیلوٹ	Saint-Priest-d'Andelot
سینٹ-لگر-سر-ووزانکے	Saint-Léger-sur-Vouzance
سینٹ-گرمین-دے-سلس	Saint-Germain-de-Salles
سینٹ-آندرے-لیس-الپس	Saint-André-les-Alpes
جالکعیو	Gaalkacyo
توجدیر	Togdheer
لا باٹیی-نیووی	La Bâtie-Neuve
سینٹ-لیوپاردیں -دوگے	Saint-Léopardin-d'Augy
اچھا، تمہارا خيال ہے کہ تمہيں رقص کرنا آتا ہے	So You Think You Can Dance
سینٹ-مارٹن-دنٹرنس	Saint-Martin-d'Entraunes
سینٹ-مشیل-دورانکے	Saint-Michel-d'Aurance
سینٹ-کلئیر، آرڈیچے	Saint-Clair (Ardèche)
سینٹ-مارٹن-دو-ور	Saint-Martin-du-Var
سینٹ-یلوے-دلئیر	Saint-Eloy-d'Allier
سینٹ-ژاں -روڑے	Saint-Jean-Roure
پہاڑی خودمختار سوویت اشتراکی جمہوریہ	República Autónoma Socialista Soviética da Montanha
یینینگ شہر	Kuldja
سینٹ-ددئر-سوس-اوبناس	Saint-Didier-sous-Aubenas
ماؤنٹ ورنن، واشنگٹن	Mount Vernon (Washington)
سینٹ-برتھلمے-گروزوں	Saint-Barthélemy-Grozon
سینٹ-کرگیس-این -مونٹاگنے	Saint-Cirgues-en-Montagne
سینٹ-مشیل-دے-ہبڑلنوش	Saint-Michel-de-Chabrillanoux
سینٹ-ایٹیینے-دے-بولوگنے	Saint-Étienne-de-Boulogne
سینٹ-جلیں -دو-سارے	Saint-Julien-du-Serre
اکلیلی حروف صحیح	Consoante coronal
سینٹ-لگر، الپس-مریتیمس	Saint-Léger (Alpes Marítimos)
سینٹ-لارنٹ-دو-پاپے	Saint-Laurent-du-Pape
سینٹ-جلیں -لے-روش	Saint-Julien-le-Roux
سینٹ-بسلے، آرڈیچے	Saint-Basile (Ardèche)
سینٹ-فورتنت-سر-یڑےش	Saint-Fortunat-sur-Eyrieux
جلائر	Sultanato Jalairida
سینٹ-اپولنیرے-دے-راس	Saint-Apollinaire-de-Rias
سینٹ-کیر، آرڈیچے	Saint-Cyr (Ardèche)
سین-پیری-دے-کولومبئر	Saint-Pierre-de-Colombier
سینٹ-ایٹیینے-دے-فونٹبلوں	Saint-Étienne-de-Fontbellon
سینٹ-دالماس-لے-سلواگے	Saint-Dalmas-le-Selvage
کردفان	Cordofão
خويان ميرو ادارہ	Fundação Joan Miró
بوسٹن، انڈیانا	Boston (Indiana)
پھیتسانولوک	Phitsanulok
سلط	Salt (Jordânia)
الطور (شہر)	El-Tor
محافظات بحرین	Lista de províncias do Bahrein
لامویلائ	Lamouilly
ماچوا ضلع	Distrito de Mačva
لانیوولے-آ-روپٹ	Laneuville-au-Rupt
کلیئر ڈانیس	Claire Danes
لامبیرٹ، مسیسپی	Lambert (Mississippi)
لاہایمیکس	Lahaymeix
سینٹ-کاپریس، الئیر	Saint-Caprais (Allier)
سینٹ-آبن-لے-مونال	Saint-Aubin-le-Monial
سینٹ-ددئر-لا-فورٹ	Saint-Didier-la-Forêt
سین-پلاسر	Saint-Plaisir
سین-پیری-لاول	Saint-Pierre-Laval
سینٹ-نکولس-دس-بیفس	Saint-Nicolas-des-Biefs
سین-ٹہرینکے	Sainte-Thérence
سینٹ-کروسٹوفے، الئیر	Saint-Christophe (Allier)
شمالی ضلع (ہانگ کانگ)	Distrito do Norte (Hong Kong)
ٹوئنٹی/20	Twenty20
لابی ریجن	Labé (região)
لاندیہن	Landéhen
سینٹ-نکولس-دو-پلم	Saint-Nicolas-du-Pélem
یففناک	Yffiniac
سین-پوتن	Saint-Pôtan
سکھر	Sukkur
کنگسٹن، نیویارک	Kingston (Nova Iorque)
ولپراسیو، انڈیانا	Valparaiso (Indiana)
سینٹ-ابن، اسنے	Saint-Aubin (Aisne)
جمہوریہ کویت	República do Kuwait
یبو، ہیوگو	Yabu
یشو، سائتاما	Yashio
سینٹ-لارنٹ-سر-وسط	Saint-Laurent-sur-Oust
مملکت لاؤس	Reino do Laos
انٹرنیشنل ہاکی فیڈریشن	Federação Internacional de Hóquei
پاتھین	Pathein
میری لینڈ کاؤنٹی، لائبیریا	Maryland (Libéria)
مشرقی لینسنگ، مشی گن	East Lansing
سینٹ-اندول-دے-ولس	Saint-Andéol-de-Vals
جیکسن، ویومنگ	Jackson (Wyoming)
سین-پیری-اگلے	Saint-Pierre-Aigle
سینٹ-کیرگے-لا-سارے	Saint-Cierge-la-Serre
یون لونگ ضلع	Yuen Long (distrito)
سینٹ-ایٹیینے-دے-سارے	Saint-Étienne-de-Serre
سینٹ-چرستول، آرڈیچے	Saint-Christol (Ardèche)
سینٹ-جکقوس، الپس-دے-ہوتے-پروونکے	Saint-Jacques (Alpes da Alta Provença)
سینٹ-مارٹن-دو-مسنیل-ورے	Saint-Martin-du-Mesnil-Oury
سینٹ-مارٹن-دس-انٹریس	Saint-Martin-des-Entrées
دوماگویتی	Dumaguete
لا گوایرا	La Guaira
مینامیبؤسؤ، چیبا	Minamiboso
سانمو، چیبا	Sanmu
یوشیکاوا، سائتاما	Yoshikawa
اظفورہ	Thumbnail
سینٹ-ایٹیینے-او-مونٹ	Saint-Étienne-au-Mont
لامبارینی	Lambaréné
فہرست ممالک بلحاظ عسکری اخراجات	Lista de países por gastos militares
نظریۂ گروہ	Teoria dos grupos
شمارندگی ہندسہ	Geometria computacional
مقداریہ سہل	Quantitative easing
ذائقہ (طبیعیات)	Sabor (física)
ڈی این اے میثائلیت	Metilação do DNA
مرکزی صوبہ (پاپوا نیو گنی)	Central (Papua-Nova Guiné)
استراحہ	Resort
سینٹ-مارٹن-دے-ےش	Saint-Martin-de-Mieux
سینٹ-گرمین-لنگوٹ	Saint-Germain-Langot
سین-پیری-دے-افس، کلودوس	Saint-Pierre-des-Ifs (Calvados)
جزیرہ نما لیئژوو	Península de Leicheu
کوون تونگ ضلع	Kwun Tong (distrito)
سینٹ-مارٹن-بولوگنے	Saint-Martin-Boulogne
فہرست نیپال کے زون	Zonas do Nepal
نیو ویسٹ منسٹر	New Westminster
سینٹ-نکولس، پاس-دے-کلاس	Saint-Nicolas (Pas-de-Calais)
زیر حمایت مشرقی افریقہ	África Oriental Britânica
اووا صوبہ	Uva (Sri Lanka)
شمال مغربی صوبہ، سری لنکا	Noroeste (Sri Lanka)
تناؤ توانائی موترہ	Tensor de energia-momento
خلیج مین	Golfo do Maine
کھون کیئن	Khon Kaen
جبلانیکاضلع	Distrito de Jablanica
جلجدود	Galguduud
سوبانگ جایا	Subang Jaya
سین-پال-سور-ابے	Saint-Paul-sur-Ubaye
وقویی جالبید	Woqooyi Galbeed
زیریں شبیلی	Shabeellaha Hoose
مدق	Mudug
زیریں جوبا	Jubbada Hoose
قلمی ارتعاش	Oscilador de cristal
تابش	Incandescência
برما کی انتظامی تقسیم	Divisões administrativas de Myanmar
کوائی تسنگ ضلع	Kwai Tsing (distrito)
جارج ٹاؤن، کینٹکی	Georgetown (Kentucky)
لاشاپیل-سوس-چانیاک	Lachapelle-sous-Chanéac
سینٹ-اسٹیر، دوردوگنے	Saint-Astier
آیزو 3166-3	ISO 3166-3
جہاز	Artesanato
سائنس-این -گوھلے	Sains-en-Gohelle
سیلے-سر-لا-لیس	Sailly-sur-la-Lys
ایچیزین، فوکوئی	Echizen (cidade)
بنگلہ دیش کے ڈویژن	Divisões de Bangladesh
صومالیہ کی انتظامی تقسیم	Divisões administrativas da Somália
ایجیئن جزائر	Ilhas Egeias
وونگ تائی سن ضلع	Wong Tai Sin (distrito)
تسوین وان ضلع	Tsuen Wan (distrito)
بیوابک، مینیسوٹا	Biwabik
بلیک بیری اشتغالی نظام	BlackBerry OS
صنعت مصنع لطیف	Indústria de software
بلین، مینیسوٹا	Blaine (Minnesota)
ارومیہ (حیاتیات)	Blastema
نیلا گلاب	Rosa azul
نیل ازرق	Nilo Azul
کوروزال ٹاؤن	Corozal (cidade)
اورنج واک ٹاؤن	Orange Walk (cidade)
پنتا گوردا، بیلیز	Punta Gorda (Belize)
چومہان	Chaumuhan
بلوم فیلڈ، نیو میکسیکو	Bloomfield (Novo México)
بلومفیلڈ، مشی گن	Bloomfield Hills
بلومنگ پریری، مینیسوٹا	Blooming Prairie
چرا رفعت پور	Chharra Rafatpur
بلو ارتھ، مینیسوٹا	Blue Earth
بلیوواٹر، ایریزونا	Bluewater (Arizona)
اختبارِ خون	Exame de sangue
لا ویکوگنی	La Vicogne
فوجا سنگھ	Fauja Singh
دانگریگا	Dangriga
چاواکڑ	Chavakkad
چھپرولی	Chhaprauli
چرچا (قصبہ)	Chharchha
چھتہ (قصبہ)	Chhata
چاندور بازار	Chandurbazar
پرتگیزی موزمبیق	África Oriental Portuguesa
مملکت روانڈا	Reino de Ruanda
بنیورو	Bunyoro
بھارت کے صدور	Lista de presidentes da Índia
لا شاپیل-سین-انڈری	La Chapelle-Saint-André
لا سیل-سور-لویری	La Celle-sur-Loire
زندگی کے بعد زندگی (کتاب)	Vida depois da Vida
روداد عالمی جنسی خلا	Diferenças globais entre gêneros
برطانیہ میں مذہب	Religião no Reino Unido
مابین، مسیسیپی	Maben
لا پالوما، پاراگوای	La Paloma (Paraguai)
بوراما	Borama
لا پالوما، روچا	La Paloma
بور، جنوبی سوڈان	Bor (Sudão do Sul)
قلمی ساخت	Estrutura cristalina
براکنیل فارسٹ	Bracknell Forest
برینرڈ، مینیسوٹا	Brainerd
برینڈن، فلوریڈا	Brandon (Flórida)
سینٹ-مارٹن-دے-بوسچرولے	Saint-Martin-de-Boscherville
فلیم ٹیسٹ	Teste da chama
اشتغال نارتھ وڈ	Operação Northwoods
سین-فلبرٹ-سور-اڑنے	Saint-Philbert-sur-Orne
میکیوویل	Macqueville
لا ٹومبی	La Tombe
انقسامیہ مفاعل لحمیاتی حرمرہ	MAP quinase
سینٹ-ژاں -لیس-ڈےش-ظمےش	Saint-Jean-les-Deux-Jumeaux
بین الاقوامی مرکز برائےتصفیہ تنازعات سرمایہ کاری	Centro Internacional para a Arbitragem de Disputas sobre Investimentos
سینٹ-پتہس	Saint-Pathus
سین-سویر-لیس-برے	Saint-Sauveur-lès-Bray
سینٹ-گروس، ونڈے	Saint-Gervais (Vendeia)
عرق گلاب	Água de rosas
سینٹ-برسسوں ، ہوتے-سونے	Saint-Bresson (Haute-Saône)
لا لونگینی	La Longine
لا نیوویل-لے-لیور	La Neuvelle-lès-Lure
لا پرویسیلیری-اے-لانگلی	La Proiselière-et-Langle
لا وایوری	La Vaivre
لا وویوری، ہوٹی-ساونی	La Voivre (Haute-Saône)
جغرافیہ دان	Geógrafo
لا لانٹیرنی-اے-لے-ارمونٹس	La Lanterne-et-les-Armonts
لاکونی	Lacaune
سین-مرے-این -چانس	Sainte-Marie-en-Chanois
سین-سویر، ہوتے-سونے	Saint-Sauveur (Haute-Saône)
لا مونٹاگنی، ہوٹی-ساونی	La Montagne (Haute-Saône)
سینٹ-برتھلمے، ہوتے-سونے	Saint-Barthélemy (Haute-Saône)
سینٹ-لوپ-سر-سموسے	Saint-Loup-sur-Semouse
لا ویل دیو-این-فون تینیت	La Villedieu-en-Fontenette
لا کوٹی، ہوٹی-ساونی	La Côte (Haute-Saône)
لا ولے نیووے-بیلینوی-اے-لا-مایزی	La Villeneuve-Bellenoye-et-la-Maize
لا پیسیوری	La Pisseure
لا روشیل، ہوٹی-ساونی	La Rochelle (Haute-Saône)
ہمرکز خردبینی	Microscopia confocal
کار کی بیٹری	Bateria automotiva
جسنے	Jasney
لا روشے-موری	La Roche-Morey
سینٹ-برنگ	Saint-Broing
لا نیوویل-لے-سے	La Neuvelle-lès-Scey
مہر	Mahr
لا ریسی-سین-مارٹین	La Résie-Saint-Martin
سینٹ-ڈیزرٹ	Saint-Désert
سینٹ-موریس-لیس-کوکھس	Saint-Maurice-lès-Couches
سینٹ-مارسیل، سونے-یت-لڑے	Saint-Marcel (Saône-et-Loire)
ایڈیڈاس برازوکا	Adidas Brazuca
سینٹ-مارٹن-دے-برتھنکورٹ	Saint-Martin-de-Bréthencourt
سینٹ-آبن-سر-لڑے	Saint-Aubin-sur-Loire
نظریۂ میدان (ریاضی)	Teoria dos corpos
لا گراندی-ریسی	La Grande-Résie
سینٹ-لوپ-نتوورڈ	Saint-Loup-Nantouard
لامبری	Lambrey
لا پالما ڈیل کونڈاڈو	La Palma del Condado
لاریٹ	Larret
لا ویرنوتے	La Vernotte
سین-رمے، ہوتے-سونے	Saint-Remy (Haute-Saône)
لانتین-ویرتیر	Lantenne-Vertière
ماسڈریل	Maasdriel
جللرنگے	Jallerange
سین-مرے، دوبس	Sainte-Marie (Doubs)
سینٹ-جلیں -لیس-مونتبلارڈ	Saint-Julien-lès-Montbéliard
سین-سجان، دوبس	Sainte-Suzanne (Doubs)
لائسی	Laissey
سینٹ-ہلیری، دوبس	Saint-Hilaire (Doubs)
لا ٹور-دے-سچائے	La Tour-de-Sçay
نائٹرس آکسائڈ	Óxido nitroso
لاندینانس	Lanthenans
سینٹ-موریس-کولومبئر	Saint-Maurice-Colombier
Divergent series	Série divergente
سینٹ-جلیں -لیس-راسے	Saint-Julien-lès-Russey
لا ویزی	La Vèze
سینڈی ہک ایلمینٹری سکول فائرنگ	Tiroteio na escola primária de Sandy Hook
براڈ گیج	Bitola larga
ٹرینسنیسٹریا	Transnístria
اسپین کی قومی یادگار عمارتیں	Monumentos do patrimônio histórico da Espanha
لا لونگیولے	La Longeville
دوبریچ صوبہ	Dobrich (província)
سینٹ-جان	Saint-Juan
لا فیرتے-سوس-جواری	La Ferté-sous-Jouarre
حالت پیوند	Partícula composta
لا گرانگی، دوبس	La Grange
حساسیت صدمہ	Sensibilidade ao choque
انفجاری سمتار	Velocidade de detonação
لابیرگیمینٹ-دو-ناوویس	Labergement-du-Navois
ساختی حیاتیات	Biologia estrutural
میون، ڈوبس	Myon
سینٹ-گوریجن-مین	Saint-Gorgon-Main
سین-کولومبے، دوبس	Sainte-Colombe (Doubs)
لا پلانی	La Planée
لا ریویرے-ڈروگیون	La Rivière-Drugeon
سینٹ-انتوینے، دوبس	Saint-Antoine (Doubs)
ڈبے میں ذرہ	Partícula em uma caixa
سین-پائنٹ-لاک	Saint-Point-Lac
بیرونی منگولیا	Mongólia Exterior
لابیرگیمینٹ-ساینٹی-ماری	Labergement-Sainte-Marie
سینٹ-لپکن	Saint-Lupicin
سین-مرے-دے-رے	Sainte-Marie-de-Ré
سینٹ-مندرئر-سر-مر	Saint-Mandrier-sur-Mer
سینٹ-مشیل-دے-مورینے	Saint-Michel-de-Maurienne
سین-پیری-دے-چانڈیو	Saint-Pierre-de-Chandieu
Tocopherol	Tocoferol
یرنس ی تمزا	Yernes y Tameza
کرکٹ عالمی کپ 2011	Copa do Mundo de Críquete de 2011
لا گویشی	La Guiche
جانوسسومورجہ	Jánossomorja
ینی مسجد (استنبول)	Mesquita Yeni
نیکسلائٹ	Naxalita
فہرست ممالک بلحاظ پیداوار تیل	Lista de países por produção de petróleo
شمالی صوبہ، سیرالیون	Northern (Serra Leoa)
اکسیر	Elixir da Longa Vida
زمرہ بندی	Categorização
ویسٹ انڈیز کرکٹ ٹیم	Seleção de Críquete das Índias Ocidentais
پڈاس یاروی	Pudasjärvi
ہیرودیون	Heródio
کوکومو، انڈیانا	Kokomo
محافظہ مبارک الکبیر	Mubarak Al-Kabeer (província)
البرٹ لی، مینیسوٹا	Albert Lea
ایملی (ناول)	Emílio, ou Da Educação
برجٹ فونڈا	Bridget Fonda
زبردا (نووی پزار)	Zabrđe (Novi Pazar)
جوار (نووی پزار)	Javor (Novi Pazar)
قلمی دوست	Amigo por correspondência
معاونت:مندرجات	Ajuda:Página principal
سہوارتھ، ایریزونا	Sahuarita
سینڈی سپرنگز، جارجیا	Sandy Springs
جبکوویک	Jabukovik
لاریویری، ٹیریٹویری دے بیلفورٹ	Larivière (Território de Belfort)
ویکیپیڈیا:آموختار	Ajuda:Tutorial
لاگرینج، ٹیریٹویری دے بیلفورٹ	Lagrange (Território de Belfort)
جارچاجک	Jarčujak
گردابیت	Vorticismo
ٹومب رایڈر پاتال	Tomb Raider: Underworld
جسیمِ ضفیر	Spliceossoma
ٹریفرڈ	Trafford
برزسزکزے	Brzeszcze
لا سییبا	La Ceiba
توچرز	Tuchoraz
سینڈبلاسٹنگ	Jateamento abrasivo
مغربی رچلینڈ، واشنگٹن	West Richland
مجلس خبرگان رہبری	Assembleia dos Peritos
لاڈیوسی	Lađevci (Kraljevo)
برسٹل، نیو ہیمپشائر	Bristol (Nova Hampshire)
برسٹل، رہوڈ آئی لینڈ	Bristol (Rhode Island)
برسٹل، ٹینیسی	Bristol (Tennessee)
وفاقی اطلاعاتی عملکاری معیار	Federal Information Processing Standard
حارث ووچکچ	Haris Vučkić
وولگا اقتصادی علاقہ	Região Econômica do Volga
مرکزی اقتصادی علاقہ	Região Econômica do Centro
سینٹ-بونٹ-این -برسسے	Saint-Bonnet-en-Bresse
سینٹ-لگر-لیس-پڑے	Saint-Léger-lès-Paray
سینٹ-لگر-سر-دھونے	Saint-Léger-sur-Dheune
آتشی طوفان	Tempestade ígnea
سینٹ-بونٹ-دے-ظوش	Saint-Bonnet-de-Joux
سینٹ-جوسف، مرتینقے	Saint-Joseph (Martinique)
پینگھو	Ilhas Pescadores
لا ویرگن	La Vergenne
لاریانس-اے-مونانس	Larians-et-Munans
سینٹ-ےڑجےش	Saint-Ferjeux
تکون خون	Hematopoiese
سین-پیری-لیس-تیو	Saint-Pierre-les-Étieux
لانی-سوبایران	Lanne-Soubiran
صحتینی	Săhăteni
سین-سرنین-دو-پلائین	Saint-Sernin-du-Plain
سینٹ-جلیں -دے-جونزے	Saint-Julien-de-Jonzy
سیلم، اوہائیو	Salem (Ohio)
سینٹ-گرمین-این -برونائس	Saint-Germain-en-Brionnais
لا روسیری، ہوٹی-ساونی	La Rosière (Haute-Saône)
سینٹ-مارشل-دے-وٹاترنے	Saint-Martial-de-Vitaterne
پامر، نیبراسکا	Palmer (Nebraska)
سینٹ-مارٹن-دس-فونٹائنس	Saint-Martin-des-Fontaines
ینگے، پیرو	Yungay (Peru)
کنگسٹن	Kingston (desambiguação)
زمانیہ	Zamania
اردو ادب	Literatura em urdu
لا اوروٹاوا	La Orotava
جربکے (ٹوٹیں )	Jarebice (Tutin)
جبلانیکا (ٹوٹیں )	Jablanica (Tutin)
آب دو	Ab Daw
بلود	Balod
کانگر	Kangar
منجنیق	Manganela
لا بولایی	Boulaye
لکلینڈ، جارجیا	Lakeland (Geórgia)
سینٹ میریز، جارجیا	St. Marys (Geórgia)
سینٹ-ہلیری-دس-لوگس	Saint-Hilaire-des-Loges
سینٹ-مارٹن-پیٹت	Saint-Martin-Petit
سین-پیری-دے-کوتنکس	Saint-Pierre-de-Coutances
یروندے -یت-برون	Yronde-et-Buron
سینٹ-ہلیری، اسوں نے	Saint-Hilaire (Essonne)
لبنان، انڈیانا	Lebanon (Indiana)
تعدیلہ تابکاری	Radiação de neutrões
براہم، مینیسوٹا	Braham
چرچ آف سکاٹ لینڈ	Igreja da Escócia
ایکواڈور کا جغرافیعہ	Geografia do Equador
ابا	Ubá
مسی سٹون	Missy Stone
جکمل	Jacmel
اتاپوئیریکا پہاڑیاں	Serra de Atapuerca
آ لاراچا	A Laracha
تورک، پولینڈ	Turek
سینٹ-گرمین-دو-پے	Saint-Germain-du-Puy
لا سالی-پرونیٹ	La Salle-Prunet
کنگز	King's College (Cambridge)
سینٹ-مارٹن-دے-گوینے	Saint-Martin-de-Goyne
جہودنا	Jahodná
لاتریکی-اورموئے-سور-اوب	Latrecey-Ormoy-sur-Aube
ویلیس، کنساس	Willis (Kansas)
سینٹ-جلیں -لیس-ولاز	Saint-Julien-les-Villas
کرائسٹ چرچ، ڈورسٹ	Christchurch (Dorset)
ڈیٹن، واشنگٹن	Dayton (Washington)
آرلنگٹن، وسکونسن	Arlington (Wisconsin)
سکاٹ لینڈ، جارجیا	Scotland (Geórgia)
سین-اگنس، زرا	Sainte-Agnès (Jura)
سینٹ-لاکٹنکن	Saint-Lactencin
سینٹ-اونٹن	Saint-Aventin
سلطنت اطالیہ	Império colonial italiano
سین-پیری-دے-لنڈس	Saint-Pierre-des-Landes
لائنیس-وکس-بویس	Laines-aux-Bois
محافظہ سلفیت	Província de Salfit
سپرنگفیلڈ، ورجینیا	Springfield (Virgínia)
لاس پاریجاس، سانٹا فی	Las Parejas
سینٹ-ایٹیینے-دے-ولریل	Saint-Étienne-de-Villeréal
ہیمپٹن، جارجیا	Hampton (Geórgia)
مانکاپور	Mankapur
ترمے کے	Turmequé
لاگو ڈو جونکو	Lago do Junco
سین-سرنین-دو-بوئی	Saint-Sernin-du-Bois
پائن ہرسٹ، جارجیا	Pinehurst (Geórgia)
غامالدوغ	Galmudug
جردم، جنوبی ماتو گروسو	Jardim (Mato Grosso do Sul)
رینڈولف، وسکونسن	Randolph (Wisconsin)
ریڈووڈ، ٹیکساس	Redwood (Texas)
برونسن، مشی گن	Bronson (Michigan)
سوامی باغ	Swamibagh
صوبہ جیلان	Gilan
گجرات (پاکستان)	Gujrat
جردم، کارا	Jardim (Ceará)
سینٹ-فیلکس-دے-لدےش	Saint-Félix-de-Villadeix
سینٹ-ژاں -دولپس	Saint-Jean-d'Aulps
بروکلین سینٹر، مینیسوٹا	Brooklyn Center (Minnesota)
لیکسنگٹن، میساچوسٹس	Lexington (Massachusetts)
ایون (کاؤنٹی)	Avon (Inglaterra)
لاجیاڈو نووو	Lajeado Novo
سینٹ-لوپ، رہونے	Saint-Loup (Ródano)
جمارا	Guemará
اہیگال	Ahigal
لا لیبیرتاڈ دیپارٹمنٹ (ایل سیلواڈور)	La Libertad (El Salvador)
توتی ضلع	Tuti (distrito)
سینٹ-مردس-دے-بلاکرولے	Saint-Mards-de-Blacarville
سینٹ-مارٹن-دے-برنگوۓ	Saint-Martin-de-Bernegoue
یکلا	Yecla
سیلم، انڈیانا	Salem (Indiana)
ڈیکورم	Dacorum
اگون	Agón
سینٹ-مارٹن-دو-بک	Saint-Martin-du-Bec
سینٹ-انتوینے-دے-تلے، کیوبک	Saint-Antoine-de-Tilly
لا اسٹریلا، انٹیوکویا	La Estrella (Antioquia)
چرگاؤں	Chirgaon
فہرست خاقان مغول	Lista de cãs da Mongólia
سینٹ-عورتیں	Saint-Avertin
کیرٹرسویل، جارجیا	Cartersville
کارلٹن، اوریگون	Carlton (Oregon)
کولمبس، نیبراسکا	Columbus (Nebraska)
لا شاپیل-سین-فلورینٹ	La Chapelle-Saint-Florent
سین-روم-دے-کرنون	Saint-Rome-de-Cernon
سینٹ-بلیمونٹ	Saint-Blimont
لارگو، فلورایڈا	Largo (Flórida)
فلم سازی	Produção cinematográfica
جمیکا بیچ، ٹیکساس	Jamaica Beach
ساہمے، مشرقی تیمور	Same
پدم بھوشن	Padma Bhushan
لا فوٹی-سور-میر	La Faute-sur-Mer
سینٹ پیٹر، بارباڈوس	Saint Peter
لیک ویو، الابامہ	Lake View (Alabama)
اگولنت	Agullent
سینٹ-کرسپن-سر-منے	Saint-Crespin-sur-Moine
منسی، انڈیانا	Muncie (Indiana)
سہنیوال	Sahnewal
سینٹ-جلیں -سوس-لیس-کوٹس	Saint-Julien-sous-les-Côtes
سینٹ-لگر-دو-گنیتے	Saint-Léger-du-Gennetey
راکاپوشی	Rakaposhi
ایجنسی، میسوری	Agency (Missouri)
لا پوئے	La Puye
دریائے ایبولا	Rio Ebola
مصدر شہر	Masdar
نوجوانان عثمان	Jovens Otomanos
اشچیانکا	Trzcianka
گرےماوتھ	Greymouth
نیوریا حسین پور	Nyoria Husainpur
سینٹ-کلیمنٹ-دے-لا-پلیس	Saint-Clément-de-la-Place
جنووکے	Janovice
قفط	Qift
پینٹیکٹن	Penticton
رچفیلڈ، ایڈاہو	Richfield (Idaho)
میدان شہر	Maydan Shahr
سینٹ-جیرے، آوےروں	Saint-Juéry (Aveyron)
برقعینی	Burquíni
تیموتو صوبہ	Província de Temotu
گاسپورٹ	Gosport
سین-رکھو	Saint-Racho
استروشن	Istarawshan
سینٹ-ہلیری-لیس-مونگس	Saint-Hilaire-les-Monges
ایگان، مینیسوٹا	Eagan
سائنس-لیس-فریسسن	Sains-lès-Fressin
لا نیوویل-گارنیر	La Neuville-Garnier
لا کروس، وسکونسن	La Crosse (Wisconsin)
مائیکل ایچ ہارٹ	Michael H. Hart
لانیمایگنان	Lannemaignan
لاتاہ، واشنگٹن	Latah (Washington)
لا ترینیتے-دے-لایٹیرس	La Trinité-des-Laitiers
سینٹ-کیر، وینے	Saint-Cyr (Vienne)
آبرن، وائیومنگ	Auburn (Wyoming)
لا شاپیل-ڈیس-پوٹس	La Chapelle-des-Pots
سینٹ-لگر-دے-لا-مرتینیرے	Saint-Léger-de-la-Martinière
سینٹ-ملاچئے، کیوبک	Saint-Malachie
لا شوسی، وینی	La Chaussée (Vienne)
سین-سویر، سوممے	Saint-Sauveur (Somme)
جبوتیکبل	Jaboticabal
عصبی ورمِ ارومہ	Neuroblastoma
کھووار	Língua khovar
مکسما (شمارندی الجبرا نظام)	Maxima
سیرتکلمہ	Walkie-talkie
میڈیسون، نیو جرسی	Madison (Nova Jérsei)
یورکتوؤن، ورجینیا	Yorktown (Virgínia)
نرکھیڑ	Narkhed
